Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Season
Arsenal,23,42.0,50,,224,,,5.33,,0.21,,4,5,1993-1994
Aston Villa,25,42.0,45,,166,,,3.95,,0.25,,3,3,1993-1994
Blackburn,22,42.0,63,,245,,,5.83,,0.24,,3,4,1993-1994
Chelsea,25,42.0,51,,178,,,4.24,,0.27,,3,5,1993-1994
Coventry City,27,42.0,43,,196,,,4.67,,0.2,,3,5,1993-1994
Everton,22,42.0,43,,183,,,4.36,,0.22,,3,4,1993-1994
Ipswich Town,21,42.0,31,,177,,,4.21,,0.16,,2,3,1993-1994
Leeds United,25,42.0,63,,199,,,4.74,,0.31,,1,2,1993-1994
Liverpool,26,42.0,54,,219,,,5.21,,0.22,,5,7,1993-1994
Manchester City,32,42.0,35,,136,,,3.24,,0.25,,1,2,1993-1994
Manchester Utd,23,42.0,79,,248,,,5.9,,0.31,,3,3,1993-1994
Newcastle Utd,27,42.0,80,,227,,,5.4,,0.31,,9,10,1993-1994
Norwich City,24,42.0,64,,184,,,4.38,,0.34,,1,1,1993-1994
Oldham Athletic,28,42.0,40,,166,,,3.95,,0.23,,1,2,1993-1994
QPR,22,42.0,60,,186,,,4.43,,0.3,,5,6,1993-1994
Sheffield Utd,28,42.0,41,,177,,,4.21,,0.23,,0,0,1993-1994
Sheffield Weds,27,42.0,71,,229,,,5.45,,0.3,,2,3,1993-1994
Southampton,31,42.0,50,,204,,,4.86,,0.21,,7,7,1993-1994
Swindon Town,26,42.0,45,,189,,,4.5,,0.2,,7,8,1993-1994
Tottenham,30,42.0,53,,195,,,4.64,,0.26,,2,4,1993-1994
West Ham,26,42.0,44,,169,,,4.02,,0.25,,2,3,1993-1994
Wimbledon,25,42.0,49,,197,,,4.69,,0.24,,1,2,1993-1994
Arsenal,30,42.0,54,,201,,,4.79,,0.25,,3,4,1994-1995
Aston Villa,26,42.0,48,,175,,,4.17,,0.27,,1,1,1994-1995
Blackburn,21,42.0,78,,264,,,6.29,,0.26,,10,12,1994-1995
Chelsea,24,42.0,47,,191,,,4.55,,0.24,,1,2,1994-1995
Coventry City,29,42.0,42,,204,,,4.86,,0.18,,5,5,1994-1995
Crystal Palace,25,42.0,33,,132,,,3.14,,0.24,,1,3,1994-1995
Everton,26,42.0,43,,186,,,4.43,,0.23,,1,3,1994-1995
Ipswich Town,33,42.0,27,,137,,,3.26,,0.18,,3,3,1994-1995
Leeds United,21,42.0,56,,223,,,5.31,,0.24,,3,4,1994-1995
Leicester City,30,42.0,46,,159,,,3.79,,0.29,,0,1,1994-1995
Liverpool,21,42.0,60,,228,,,5.43,,0.24,,5,6,1994-1995
Manchester City,27,42.0,53,,195,,,4.64,,0.27,,1,2,1994-1995
Manchester Utd,24,42.0,76,,198,,,4.71,,0.36,,4,4,1994-1995
Newcastle Utd,22,42.0,66,,172,,,4.1,,0.36,,4,5,1994-1995
Norwich City,26,42.0,31,,145,,,3.45,,0.2,,2,3,1994-1995
Nott'ham Forest,20,42.0,71,,210,,,5.0,,0.31,,5,6,1994-1995
QPR,23,42.0,60,,206,,,4.9,,0.29,,0,1,1994-1995
Sheffield Weds,24,42.0,48,,158,,,3.76,,0.3,,1,2,1994-1995
Southampton,26,42.0,61,,175,,,4.17,,0.33,,3,3,1994-1995
Tottenham,24,42.0,62,,199,,,4.74,,0.3,,2,3,1994-1995
West Ham,26,42.0,44,,184,,,4.38,,0.21,,5,5,1994-1995
Wimbledon,26,42.0,40,,171,,,4.07,,0.22,,3,4,1994-1995
Arsenal,25,38.0,49,,200,,,5.26,,0.23,,3,5,1995-1996
Aston Villa,24,38.0,49,,173,,,4.55,,0.27,,2,2,1995-1996
Blackburn,26,38.0,60,,220,,,5.79,,0.26,,3,3,1995-1996
Bolton,28,38.0,39,,166,,,4.37,,0.22,,3,3,1995-1996
Chelsea,25,38.0,45,,174,,,4.58,,0.24,,3,4,1995-1996
Coventry City,26,38.0,42,,183,,,4.82,,0.22,,1,2,1995-1996
Everton,24,38.0,63,,189,,,4.97,,0.31,,4,4,1995-1996
Leeds United,31,38.0,38,,186,,,4.89,,0.19,,2,3,1995-1996
Liverpool,19,38.0,68,,242,,,6.37,,0.28,,1,1,1995-1996
Manchester City,27,38.0,33,,166,,,4.37,,0.19,,1,2,1995-1996
Manchester Utd,23,38.0,72,,215,,,5.66,,0.32,,4,4,1995-1996
Middlesbrough,30,38.0,34,,153,,,4.03,,0.2,,3,4,1995-1996
Newcastle Utd,22,38.0,68,,215,,,5.66,,0.3,,3,4,1995-1996
Nott'ham Forest,22,38.0,48,,183,,,4.82,,0.25,,3,3,1995-1996
QPR,27,38.0,37,,152,,,4.0,,0.24,,0,1,1995-1996
Sheffield Weds,28,38.0,48,,184,,,4.84,,0.24,,4,4,1995-1996
Southampton,25,38.0,33,,152,,,4.0,,0.19,,4,4,1995-1996
Tottenham,23,38.0,47,,181,,,4.76,,0.25,,2,2,1995-1996
West Ham,31,38.0,43,,195,,,5.13,,0.19,,5,6,1995-1996
Wimbledon,30,38.0,54,,184,,,4.84,,0.28,,2,2,1995-1996
Arsenal,28,38.0,59,,239,,,6.29,,0.21,,8,8,1996-1997
Aston Villa,21,38.0,46,,217,,,5.71,,0.19,,4,5,1996-1997
Blackburn,25,38.0,42,,166,,,4.37,,0.24,,2,3,1996-1997
Chelsea,31,38.0,56,,215,,,5.66,,0.24,,4,5,1996-1997
Coventry City,25,38.0,36,,183,,,4.82,,0.18,,3,3,1996-1997
Derby County,26,38.0,42,,194,,,5.11,,0.2,,3,4,1996-1997
Everton,26,38.0,45,,211,,,5.55,,0.19,,4,6,1996-1997
Leeds United,30,38.0,27,,168,,,4.42,,0.16,,0,1,1996-1997
Leicester City,24,38.0,44,,193,,,5.08,,0.21,,3,6,1996-1997
Liverpool,23,38.0,58,,231,,,6.08,,0.24,,2,3,1996-1997
Manchester Utd,23,38.0,70,,239,,,6.29,,0.28,,4,6,1996-1997
Middlesbrough,30,38.0,50,,269,,,7.08,,0.17,,5,8,1996-1997
Newcastle Utd,20,38.0,72,,257,,,6.76,,0.26,,5,7,1996-1997
Nott'ham Forest,29,38.0,31,,185,,,4.87,,0.16,,2,3,1996-1997
Sheffield Weds,24,38.0,50,,181,,,4.76,,0.27,,2,4,1996-1997
Southampton,31,38.0,47,,201,,,5.29,,0.2,,6,7,1996-1997
Sunderland,25,38.0,32,,167,,,4.39,,0.17,,4,6,1996-1997
Tottenham,26,38.0,43,,191,,,5.03,,0.21,,2,3,1996-1997
West Ham,32,38.0,40,,219,,,5.76,,0.16,,5,6,1996-1997
Wimbledon,24,38.0,48,,209,,,5.5,,0.23,,0,1,1996-1997
Arsenal,26,38.0,66,,249,,,6.55,,0.24,,5,6,1997-1998
Aston Villa,22,38.0,49,,207,,,5.45,,0.22,,3,4,1997-1998
Barnsley,26,38.0,37,,155,,,4.08,,0.22,,3,5,1997-1998
Blackburn,24,38.0,55,,230,,,6.05,,0.23,,2,2,1997-1998
Bolton,28,38.0,41,,233,,,6.13,,0.16,,3,3,1997-1998
Chelsea,28,38.0,67,,224,,,5.89,,0.27,,6,6,1997-1998
Coventry City,26,38.0,46,,197,,,5.18,,0.21,,5,7,1997-1998
Crystal Palace,36,38.0,35,,143,,,3.76,,0.24,,1,2,1997-1998
Derby County,28,38.0,52,,224,,,5.89,,0.21,,5,6,1997-1998
Everton,34,38.0,38,,164,,,4.32,,0.23,,0,0,1997-1998
Leeds United,22,38.0,52,,200,,,5.26,,0.26,,1,2,1997-1998
Leicester City,22,38.0,51,,180,,,4.74,,0.26,,4,4,1997-1998
Liverpool,24,38.0,68,,245,,,6.45,,0.26,,4,5,1997-1998
Manchester Utd,29,38.0,68,,222,,,5.84,,0.29,,3,6,1997-1998
Newcastle Utd,26,38.0,35,,185,,,4.87,,0.18,,1,2,1997-1998
Sheffield Weds,34,38.0,51,,199,,,5.24,,0.24,,3,3,1997-1998
Southampton,31,38.0,48,,169,,,4.45,,0.25,,5,5,1997-1998
Tottenham,28,38.0,44,,208,,,5.47,,0.21,,0,2,1997-1998
West Ham,29,38.0,53,,226,,,5.95,,0.23,,1,1,1997-1998
Wimbledon,27,38.0,32,,175,,,4.61,,0.18,,1,1,1997-1998
Arsenal,26,38.0,58,,247,,,6.5,,0.23,,2,4,1998-1999
Aston Villa,24,38.0,50,,144,,,3.79,,0.33,,2,4,1998-1999
Blackburn,30,38.0,34,,177,,,4.66,,0.18,,2,4,1998-1999
Charlton Ath,27,38.0,39,,161,,,4.24,,0.22,,4,6,1998-1999
Chelsea,26,38.0,56,,211,,,5.55,,0.25,,3,4,1998-1999
Coventry City,28,38.0,39,,196,,,5.16,,0.19,,2,2,1998-1999
Derby County,30,38.0,40,,152,,,4.0,,0.24,,4,6,1998-1999
Everton,34,38.0,44,,175,,,4.61,,0.23,,3,6,1998-1999
Leeds United,24,38.0,61,,215,,,5.66,,0.27,,2,3,1998-1999
Leicester City,24,38.0,40,,174,,,4.58,,0.22,,2,3,1998-1999
Liverpool,25,38.0,68,,223,,,5.87,,0.27,,7,7,1998-1999
Manchester Utd,23,38.0,78,,248,,,6.53,,0.31,,2,4,1998-1999
Middlesbrough,29,38.0,47,,214,,,5.63,,0.21,,1,1,1998-1999
Newcastle Utd,34,38.0,47,,197,,,5.18,,0.21,,6,7,1998-1999
Nott'ham Forest,33,38.0,35,,151,,,3.97,,0.22,,2,2,1998-1999
Sheffield Weds,31,38.0,39,,145,,,3.82,,0.26,,1,2,1998-1999
Southampton,31,38.0,35,,163,,,4.29,,0.21,,1,1,1998-1999
Tottenham,29,38.0,48,,200,,,5.26,,0.23,,2,3,1998-1999
West Ham,29,38.0,48,,191,,,5.03,,0.25,,1,1,1998-1999
Wimbledon,23,38.0,40,,148,,,3.89,,0.26,,1,1,1998-1999
Arsenal,30,38.0,71,,282,,,7.42,,0.24,,3,5,1999-2000
Aston Villa,25,38.0,48,,160,,,4.21,,0.28,,3,5,1999-2000
Bradford City,25,38.0,37,,150,,,3.95,,0.21,,5,5,1999-2000
Chelsea,27,38.0,48,,197,,,5.18,,0.24,,1,1,1999-2000
Coventry City,30,38.0,46,,181,,,4.76,,0.23,,5,5,1999-2000
Derby County,31,38.0,42,,160,,,4.21,,0.25,,2,4,1999-2000
Everton,28,38.0,58,,175,,,4.61,,0.3,,6,7,1999-2000
Leeds United,20,38.0,57,,221,,,5.82,,0.24,,4,6,1999-2000
Leicester City,26,38.0,53,,138,,,3.63,,0.36,,3,3,1999-2000
Liverpool,23,38.0,50,,219,,,5.76,,0.21,,3,5,1999-2000
Manchester Utd,29,38.0,94,,254,,,6.68,,0.36,,3,5,1999-2000
Middlesbrough,28,38.0,44,,176,,,4.63,,0.22,,6,9,1999-2000
Newcastle Utd,32,38.0,60,,195,,,5.13,,0.28,,6,6,1999-2000
Sheffield Weds,25,38.0,34,,157,,,4.13,,0.2,,3,4,1999-2000
Southampton,29,38.0,42,,189,,,4.97,,0.22,,1,1,1999-2000
Sunderland,27,38.0,57,,185,,,4.87,,0.28,,6,8,1999-2000
Tottenham,28,38.0,55,,207,,,5.45,,0.26,,1,1,1999-2000
Watford,31,38.0,35,,173,,,4.55,,0.19,,2,2,1999-2000
West Ham,28,38.0,51,,220,,,5.79,,0.22,,2,2,1999-2000
Wimbledon,26,38.0,44,,146,,,3.84,,0.29,,1,1,1999-2000
Arsenal,26,38.0,62,,267,,,7.03,,0.23,,1,2,2000-2001
Aston Villa,23,38.0,46,,166,,,4.37,,0.27,,1,1,2000-2001
Bradford City,30,38.0,26,,123,,,3.24,,0.19,,3,5,2000-2001
